"Name","Nepali","District","Districts","Population (2011)","Area (km2)","Area (KM2)","Density","Province"
"Barpak Sulikot","बारपाक सुलीकोट","Gorkha","","25,389","200.63","","127","Gandaki"
"Aarughat","आरूघाट","Gorkha","","23,887","160.79","","149","Gandaki"
"Siranchok","सिरानचोक","Gorkha","","23,628","121.66","","194","Gandaki"
"Gandaki","गण्डकी","Gorkha","","23,253","123.86","","188","Gandaki"
"Bhimsen Thapa","भिमसेनथापा","Gorkha","","22,033","101.25","","218","Gandaki"
"Ajirkot","अजिरकोट","Gorkha","","14,802","198.05","","75","Gandaki"
"Dharche","धार्चे","Gorkha","","13,229","651.52","","20","Gandaki"
"Chum Nubri","चुम नुव्री","Gorkha","","6,923","1,648.65","","4","Gandaki"
"Annapurna","अन्नपुर्ण","Kaski","","23,417","33.33","","703","Gandaki"
"Machhapuchhre","माछापुछ्रे","Kaski","","21,868","544.58","","40","Gandaki"
"Madi","मादी","Kaski","","18,153","563","","32","Gandaki"
"Rupa","रूपा","Kaski","","14,519","94.81","","153","Gandaki"
"Marsyangdi","मर्स्याङदी","Lamjung","","18,759","597.25","","31","Gandaki"
"Dordi","दोर्दी","Lamjung","","18,392","350.93","","52","Gandaki"
"Dudhpokhari","दूधपोखरी","Lamjung","","10,975","153.33","","72","Gandaki"
"Kwaholasothar","क्व्होलासोथार","Lamjung","","10,032","175.37","","57","Gandaki"
"Manang Disyang","मनाङ डिस्याङ","Manang","","2,222","694.63","","3","Gandaki"
"Nason","नासोँ","Manang","","1,938","709.58","","3","Gandaki"
"Chame","चामे","Manang","","1,129","78.86","","14","Gandaki"
"Narpa Bhumi","नार्पा भूमी","Manang","","538","837.54","","1","Gandaki"
"Gharapjhong","घरपझोङ","Mustang","","3,029","316","","10","Gandaki"
"Thasang","थासाङ","Mustang","","2,912","289","","10","Gandaki"
"Baragung Muktichhetra","बारागुङ मुक्तिक्षेत्र","Mustang","","2,330","886","","3","Gandaki"
